"INCITS","County or equivalent","State or district","Pop Rank","2013 Pop","Core Based Statistical Area","Combined Statistical Area"
"01001","Autauga County","Alabama","911","55,246","Montgomery, AL Metropolitan Statistical Area",""
"01003","Baldwin County","Alabama","329","195,540","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area","Mobile-Daphne-Fairhope, AL Combined Statistical Area"
"01005","Barbour County","Alabama","1531","27,076","",""
"01007","Bibb County","Alabama","1708","22,512","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01009","Blount County","Alabama","884","57,872","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01011","Bullock County","Alabama","2386","10,639","",""
"01013","Butler County","Alabama","1828","20,265","",""
"01015","Calhoun County","Alabama","522","116,736","Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",""
"01017","Chambers County","Alabama","1323","34,162","Valley, AL Micropolitan Statistical Area","Columbus-Auburn-Opelika, GA-AL Combined Statistical Area"
"01019","Cherokee County","Alabama","1555","26,203","",""
"01021","Chilton County","Alabama","1087","43,951","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01023","Choctaw County","Alabama","2216","13,426","",""
"01025","Clarke County","Alabama","1599","25,207","",""
"01027","Clay County","Alabama","2211","13,486","",""
"01029","Cleburne County","Alabama","2108","14,994","",""
"01031","Coffee County","Alabama","970","50,938","Enterprise, AL Micropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
"01033","Colbert County","Alabama","919","54,520","Florence-Muscle Shoals, AL Metropolitan Statistical Area",""
"01035","Conecuh County","Alabama","2244","12,887","",""
"01037","Coosa County","Alabama","2367","10,898","Talladega-Sylacauga, AL Micropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01039","Covington County","Alabama","1224","37,886","",""
"01041","Crenshaw County","Alabama","2174","13,986","",""
"01043","Cullman County","Alabama","687","80,811","Cullman, AL Micropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01045","Dale County","Alabama","983","49,884","Ozark, AL Micropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
"01047","Dallas County","Alabama","1128","41,996","Selma, AL Micropolitan Statistical Area",""
"01049","DeKalb County","Alabama","755","71,013","",""
"01051","Elmore County","Alabama","685","80,902","Montgomery, AL Metropolitan Statistical Area",""
"01053","Escambia County","Alabama","1219","37,983","",""
"01055","Etowah County","Alabama","566","103,931","Gadsden, AL Metropolitan Statistical Area",""
"01057","Fayette County","Alabama","1988","16,909","",""
"01059","Franklin County","Alabama","1400","31,532","",""
"01061","Geneva County","Alabama","1543","26,727","Dothan, AL Metropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
"01063","Greene County","Alabama","2542","8,744","",""
"01065","Hale County","Alabama","2081","15,406","Tuscaloosa, AL Metropolitan Statistical Area",""
"01067","Henry County","Alabama","1966","17,296","Dothan, AL Metropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
"01069","Houston County","Alabama","567","103,668","Dothan, AL Metropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
"01071","Jackson County","Alabama","941","52,951","Scottsboro, AL Micropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
"01073","Jefferson County","Alabama","95","659,479","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01075","Lamar County","Alabama","2157","14,236","",""
"01077","Lauderdale County","Alabama","625","92,797","Florence-Muscle Shoals, AL Metropolitan Statistical Area",""
"01079","Lawrence County","Alabama","1336","33,587","Decatur, AL Metropolitan Statistical Area","Huntsville-Decatur-Albertville, AL Combined Statistical Area"
"01081","Lee County","Alabama","423","150,933","Auburn-Opelika, AL Metropolitan Statistical Area","Columbus-Auburn-Opelika, GA-AL Combined Statistical Area"
"01083","Limestone County","Alabama","644","88,845","Huntsville, AL Metropolitan Statistical Area","Huntsville-Decatur-Albertville, AL Combined Statistical Area"
"01085","Lowndes County","Alabama","2381","10,703","Montgomery, AL Metropolitan Statistical Area",""
"01087","Macon County","Alabama","1848","19,688","",""
"01089","Madison County","Alabama","193","346,892","Huntsville, AL Metropolitan Statistical Area","Huntsville-Decatur-Albertville, AL Combined Statistical Area"
"01091","Marengo County","Alabama","1833","20,155","",""
"01093","Marion County","Alabama","1422","30,334","",""
"01095","Marshall County","Alabama","615","94,760","Albertville, AL Micropolitan Statistical Area","Huntsville-Decatur-Albertville, AL Combined Statistical Area"
"01097","Mobile County","Alabama","166","414,079","Mobile, AL Metropolitan Statistical Area","Mobile-Daphne-Fairhope, AL Combined Statistical Area"
"01099","Monroe County","Alabama","1719","22,236","",""
"01101","Montgomery County","Alabama","283","226,659","Montgomery, AL Metropolitan Statistical Area",""
"01103","Morgan County","Alabama","510","119,787","Decatur, AL Metropolitan Statistical Area","Huntsville-Decatur-Albertville, AL Combined Statistical Area"
"01105","Perry County","Alabama","2436","10,020","",""
"01107","Pickens County","Alabama","1863","19,401","Tuscaloosa, AL Metropolitan Statistical Area",""
"01109","Pike County","Alabama","1343","33,339","Troy, AL Micropolitan Statistical Area",""
"01111","Randolph County","Alabama","1696","22,727","",""
"01113","Russell County","Alabama","869","59,585","Columbus, GA-AL Metropolitan Statistical Area","Columbus-Auburn-Opelika, GA-AL Combined Statistical Area"
"01115","St. Clair County","Alabama","659","86,308","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01117","Shelby County","Alabama","311","204,180","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01119","Sumter County","Alabama","2222","13,361","",""
"01121","Talladega County","Alabama","683","81,096","Talladega-Sylacauga, AL Micropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01123","Tallapoosa County","Alabama","1146","41,203","",""
"01125","Tuscaloosa County","Alabama","317","200,821","Tuscaloosa, AL Metropolitan Statistical Area",""
"01127","Walker County","Alabama","799","65,998","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
"01129","Washington County","Alabama","1990","16,877","",""
"01131","Wilcox County","Alabama","2336","11,307","",""
"01133","Winston County","Alabama","1639","24,146","",""
"02013","Aleutians East Borough","Alaska","2969","3,092","",""
"02016","Aleutians West Census Area","Alaska","2806","5,511","",""
"02020","Anchorage, Municipality of","Alaska","220","300,950","Anchorage, AK Metropolitan Statistical Area",""
"02050","Bethel Census Area","Alaska","1931","17,758","",""
"02060","Bristol Bay Borough","Alaska","3110","960","",""
"02068","Denali Borough","Alaska","3068","1,867","",""
"02070","Dillingham Census Area","Alaska","2838","5,010","",""
"02090","Fairbanks North Star Borough","Alaska","589","100,436","Fairbanks, AK Metropolitan Statistical Area",""
"02100","Haines Borough","Alaska","3004","2,592","",""
"02105","Hoonah–Angoon Census Area","Alaska","3040","2,145","",""
"02110","Juneau, City and Borough of","Alaska","1368","32,660","Juneau, AK Micropolitan Statistical Area",""
"02122","Kenai Peninsula Borough","Alaska","893","57,147","",""
"02130","Ketchikan Gateway Borough","Alaska","2194","13,729","Ketchikan, AK Micropolitan Statistical Area",""
"02150","Kodiak Island Borough","Alaska","2162","14,135","",""
"02164","Lake and Peninsula Borough","Alaska","3076","1,648","",""
"02170","Matanuska-Susitna Borough","Alaska","613","95,192","Anchorage, AK Metropolitan Statistical Area",""
"02180","Nome Census Area","Alaska","2451","9,892","",""
"02185","North Slope Borough","Alaska","2461","9,686","",""
"02188","Northwest Arctic Borough","Alaska","2623","7,685","",""
"02195","Petersburg Borough","Alaska","2922","3,774","",""
"02198","Prince of Wales – Hyder Census Area","Alaska","2782","5,786","",""
"02220","Sitka, City and Borough of","Alaska","2519","9,020","",""
"02230","Skagway, Municipality of","Alaska","3108","995","",""
"02240","Southeast Fairbanks Census Area","Alaska","2686","6,985","",""
"02261","Valdez–Cordova Census Area","Alaska","2456","9,763","",""
"02270","Kusilvak Census Area","Alaska","2601","7,977","",""
"02275","Wrangell, City and Borough of","Alaska","3013","2,400","",""
"02282","Yakutat, City and Borough of","Alaska","3131","642","",""
"02290","Yukon–Koyukuk Census Area","Alaska","2788","5,695","",""
"04001","Apache County","Arizona","748","71,934","",""
"04003","Cochise County","Arizona","480","129,473","Sierra Vista-Douglas, AZ Metropolitan Statistical Area",""
"04005","Coconino County","Arizona","459","136,539","Flagstaff, AZ Metropolitan Statistical Area",""
"04007","Gila County","Arizona","938","53,053","Payson, AZ Micropolitan Statistical Area",""
"04009","Graham County","Arizona","1233","37,482","Safford, AZ Micropolitan Statistical Area",""
"04011","Greenlee County","Arizona","2513","9,049","",""
"04012","La Paz County","Arizona","1823","20,324","",""
"04013","Maricopa County","Arizona","4","4,009,412","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",""
"04015","Mohave County","Arizona","313","203,030","Lake Havasu City-Kingman, AZ Metropolitan Statistical Area","Las Vegas-Henderson, NV-AZ Combined Statistical Area"
"04017","Navajo County","Arizona","557","107,322","Show Low, AZ Micropolitan Statistical Area",""
"04019","Pima County","Arizona","42","996,554","Tucson, AZ Metropolitan Statistical Area","Tucson-Nogales, AZ Combined Statistical Area"
"04021","Pinal County","Arizona","174","389,350","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",""
"04023","Santa Cruz County","Arizona","1030","46,768","Nogales, AZ Micropolitan Statistical Area","Tucson-Nogales, AZ Combined Statistical Area"
"04025","Yavapai County","Arizona","293","215,133","Prescott, AZ Metropolitan Statistical Area",""
"04027","Yuma County","Arizona","316","201,201","Yuma, AZ Metropolitan Statistical Area",""
"05001","Arkansas County","Arkansas","1884","18,777","",""
"05003","Ashley County","Arkansas","1763","21,283","",""
"05005","Baxter County","Arkansas","1154","40,957","Mountain Home, AR Micropolitan Statistical Area",""
"05007","Benton County","Arkansas","276","237,297","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",""
"05009","Boone County","Arkansas","1238","37,396","Harrison, AR Micropolitan Statistical Area",""
"05011","Bradley County","Arkansas","2340","11,249","",""
"05013","Calhoun County","Arkansas","2821","5,241","Camden, AR Micropolitan Statistical Area",""
"05015","Carroll County","Arkansas","1506","27,808","",""
"05017","Chicot County","Arkansas","2335","11,335","",""
"05019","Clark County","Arkansas","1695","22,743","Arkadelphia, AR Micropolitan Statistical Area",""
"05021","Clay County","Arkansas","2082","15,402","",""
"05023","Cleburne County","Arkansas","1574","25,686","",""
"05025","Cleveland County","Arkansas","2556","8,593","Pine Bluff, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
"05027","Columbia County","Arkansas","1638","24,164","Magnolia, AR Micropolitan Statistical Area",""
"05029","Conway County","Arkansas","1765","21,245","",""
"05031","Craighead County","Arkansas","582","101,488","Jonesboro, AR Metropolitan Statistical Area","Jonesboro-Paragould, AR Combined Statistical Area"
"05033","Crawford County","Arkansas","846","61,640","Fort Smith, AR-OK Metropolitan Statistical Area",""
"05035","Crittenden County","Arkansas","987","49,746","Memphis, TN-MS-AR Metropolitan Statistical Area","Memphis-Forrest City, TN-MS-AR Combined Statistical Area"
"05037","Cross County","Arkansas","1947","17,548","",""
"05039","Dallas County","Arkansas","2604","7,933","",""
"05041","Desha County","Arkansas","2268","12,505","",""
"05043","Drew County","Arkansas","1883","18,785","",""
"05045","Faulkner County","Arkansas","511","119,580","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
"05047","Franklin County","Arkansas","1915","18,034","",""
"05049","Fulton County","Arkansas","2283","12,304","",""
"05051","Garland County","Arkansas","601","97,173","Hot Springs, AR Metropolitan Statistical Area","Hot Springs-Malvern, AR Combined Statistical Area"
"05053","Grant County","Arkansas","1916","18,019","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
"05055","Greene County","Arkansas","1109","43,097","Paragould, AR Micropolitan Statistical Area","Jonesboro-Paragould, AR Combined Statistical Area"
"05057","Hempstead County","Arkansas","1710","22,474","",""
"05059","Hot Spring County","Arkansas","1339","33,500","Malvern, AR Micropolitan Statistical Area","Hot Springs-Malvern, AR Combined Statistical Area"
"05061","Howard County","Arkansas","2203","13,581","",""
"05063","Independence County","Arkansas","1247","36,997","Batesville, AR Micropolitan Statistical Area",""
"05065","Izard County","Arkansas","2219","13,368","",""
"05067","Jackson County","Arkansas","1941","17,615","",""
"05069","Jefferson County","Arkansas","743","73,191","Pine Bluff, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
"05071","Johnson County","Arkansas","1568","25,846","",""
"05073","Lafayette County","Arkansas","2656","7,252","",""
"05075","Lawrence County","Arkansas","1978","17,011","",""
"05077","Lee County","Arkansas","2437","10,015","",""
"05079","Lincoln County","Arkansas","2171","14,031","Pine Bluff, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
"05081","Little River County","Arkansas","2255","12,730","Texarkana, TX-AR Metropolitan Statistical Area",""
"05083","Logan County","Arkansas","1727","22,082","",""
"05085","Lonoke County","Arkansas","756","70,753","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
"05087","Madison County","Arkansas","2064","15,701","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",""
"05089","Marion County","Arkansas","2017","16,430","",""
"05091","Miller County","Arkansas","1103","43,402","Texarkana, TX-AR Metropolitan Statistical Area",""
"05093","Mississippi County","Arkansas","1074","44,765","Blytheville, AR Micropolitan Statistical Area",""
"05095","Monroe County","Arkansas","2625","7,682","",""
"05097","Montgomery County","Arkansas","2501","9,226","",""
"05099","Nevada County","Arkansas","2535","8,799","",""
"05101","Newton County","Arkansas","2596","8,064","Harrison, AR Micropolitan Statistical Area",""
"05103","Ouachita County","Arkansas","1608","25,002","Camden, AR Micropolitan Statistical Area",""
"05105","Perry County","Arkansas","2407","10,345","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
"05107","Phillips County","Arkansas","1820","20,399","Helena-West Helena, AR Micropolitan Statistical Area",""
"05109","Pike County","Arkansas","2348","11,177","",""
"05111","Poinsett County","Arkansas","1640","24,145","Jonesboro, AR Metropolitan Statistical Area","Jonesboro-Paragould, AR Combined Statistical Area"
"05113","Polk County","Arkansas","1819","20,406","",""
"05115","Pope County","Arkansas","832","62,547","Russellville, AR Micropolitan Statistical Area",""
"05117","Prairie County","Arkansas","2574","8,374","",""
"05119","Pulaski County","Arkansas","172","391,284","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
"05121","Randolph County","Arkansas","1937","17,692","",""
"05123","St. Francis County","Arkansas","1520","27,260","Forrest City, AR Micropolitan Statistical Area","Memphis-Forrest City, TN-MS-AR Combined Statistical Area"
"05125","Saline County","Arkansas","530","114,404","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
"05127","Scott County","Arkansas","2362","10,950","",""
"05129","Searcy County","Arkansas","2599","8,023","",""
"05131","Sebastian County","Arkansas","484","127,342","Fort Smith, AR-OK Metropolitan Statistical Area",""
"05133","Sevier County","Arkansas","1960","17,366","",""
"05135","Sharp County","Arkansas","1977","17,049","",""
"05137","Stone County","Arkansas","2265","12,581","",""
"05139","Union County","Arkansas","1162","40,694","El Dorado, AR Micropolitan Statistical Area",""
"05141","Van Buren County","Arkansas","1984","16,932","",""
"05143","Washington County","Arkansas","290","216,410","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",""
"05145","White County","Arkansas","701","78,483","Searcy, AR Micropolitan Statistical Area","Little Rock-North Little Rock, AR Combined Statistical Area"
"05147","Woodruff County","Arkansas","2676","7,072","",""
"05149","Yell County","Arkansas","1738","21,893","Russellville, AR Micropolitan Statistical Area",""
"06001","Alameda County","California","21","1,578,891","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
"06003","Alpine County","California","3103","1,159","",""
"06005","Amador County","California","1260","36,519","",""
"06007","Butte County","California","287","222,090","Chico, CA Metropolitan Statistical Area",""
"06009","Calaveras County","California","1078","44,515","",""
"06011","Colusa County","California","1758","21,358","",""
"06013","Contra Costa County","California","38","1,094,205","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
"06015","Del Norte County","California","1502","27,873","Crescent City, CA Micropolitan Statistical Area",""
"06017","El Dorado County","California","349","181,737","Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
"06019","Fresno County","California","49","955,272","Fresno, CA Metropolitan Statistical Area","Fresno-Madera, CA Combined Statistical Area"
"06021","Glenn County","California","1496","27,940","",""
"06023","Humboldt County","California","469","134,493","Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area",""
"06025","Imperial County","California","358","176,584","El Centro, CA Metropolitan Statistical Area",""
"06027","Inyo County","California","1896","18,467","",""
"06029","Kern County","California","60","864,124","Bakersfield, CA Metropolitan Statistical Area",""
"06031","Kings County","California","422","150,960","Hanford-Corcoran, CA Metropolitan Statistical Area","Visalia-Porterville-Hanford, CA Combined Statistical Area"
"06033","Lake County","California","822","63,860","Clearlake, CA Micropolitan Statistical Area",""
"06035","Lassen County","California","1386","32,163","Susanville, CA Micropolitan Statistical Area",""
"06037","Los Angeles County","California","1","10,017,068","Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area","Los Angeles-Long Beach, CA Combined Statistical Area"
"06039","Madera County","California","416","152,389","Madera, CA Metropolitan Statistical Area","Fresno-Madera, CA Combined Statistical Area"
"06041","Marin County","California","257","258,365","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
"06043","Mariposa County","California","1932","17,755","",""
"06045","Mendocino County","California","652","87,192","Ukiah, CA Micropolitan Statistical Area",""
"06047","Merced County","California","254","263,228","Merced, CA Metropolitan Statistical Area","Modesto-Merced, CA Combined Statistical Area"
"06049","Modoc County","California","2504","9,147","",""
"06051","Mono County","California","2166","14,074","",""
"06053","Monterey County","California","161","428,826","Salinas, CA Metropolitan Statistical Area",""
"06055","Napa County","California","450","140,326","Napa, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
"06057","Nevada County","California","599","98,200","Truckee-Grass Valley, CA Micropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
"06059","Orange County","California","6","3,114,363","Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area","Los Angeles-Long Beach, CA Combined Statistical Area"
"06061","Placer County","California","183","367,309","Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
"06063","Plumas County","California","1878","18,859","",""
"06065","Riverside County","California","11","2,292,507","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","Los Angeles-Long Beach, CA Combined Statistical Area"
"06067","Sacramento County","California","25","1,462,131","Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
"06069","San Benito County","California","885","57,600","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
"06071","San Bernardino County","California","12","2,088,371","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","Los Angeles-Long Beach, CA Combined Statistical Area"
"06073","San Diego County","California","5","3,211,252","San Diego-Carlsbad, CA Metropolitan Statistical Area",""
"06075","San Francisco, City and County of","California","66","837,442","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
"06077","San Joaquin County","California","87","704,379","Stockton-Lodi, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
"06079","San Luis Obispo County","California","241","276,443","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",""
"06081","San Mateo County","California","82","747,373","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
"06083","Santa Barbara County","California","158","435,697","Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",""
"06085","Santa Clara County","California","16","1,862,041","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
"06087","Santa Cruz County","California","248","269,419","Santa Cruz-Watsonville, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
"06089","Shasta County","California","355","178,980","Redding, CA Metropolitan Statistical Area","Redding-Red Bluff, CA Combined Statistical Area"
"06091","Sierra County","California","2973","3,047","",""
"06093","Siskiyou County","California","1092","43,799","",""
"06095","Solano County","California","162","424,788","Vallejo-Fairfield, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
"06097","Sonoma County","California","137","495,025","Santa Rosa, CA Metropolitan Statistical Area","San Jose-San Francisco-Oakland, CA Combined Statistical Area"
"06099","Stanislaus County","California","125","525,491","Modesto, CA Metropolitan Statistical Area","Modesto-Merced, CA Combined Statistical Area"
"06101","Sutter County","California","612","95,350","Yuba City, CA Metropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
"06103","Tehama County","California","831","63,057","Red Bluff, CA Micropolitan Statistical Area","Redding-Red Bluff, CA Combined Statistical Area"
"06105","Trinity County","California","2214","13,448","",""
"06107","Tulare County","California","147","454,143","Visalia-Porterville, CA Metropolitan Statistical Area","Visalia-Porterville-Hanford, CA Combined Statistical Area"
"06109","Tuolumne County","California","925","53,874","Sonora, CA Micropolitan Statistical Area",""
"06111","Ventura County","California","65","839,620","Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area","Los Angeles-Long Beach, CA Combined Statistical Area"
"06113","Yolo County","California","310","204,593","Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
"06115","Yuba County","California","741","73,340","Yuba City, CA Metropolitan Statistical Area","Sacramento-Roseville, CA Combined Statistical Area"
"08001","Adams County","Colorado","144","469,193","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
"08003","Alamosa County","Colorado","2027","16,253","",""
"08005","Arapahoe County","Colorado","108","607,070","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
"08007","Archuleta County","Colorado","2288","12,194","",""
"08009","Baca County","Colorado","2929","3,682","",""
"08011","Bent County","Colorado","2790","5,688","",""
"08013","Boulder County","Colorado","210","310,048","Boulder, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
"08014","Broomfield, City and County of","Colorado","872","59,471","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
"08015","Chaffee County","Colorado","1894","18,510","",""
"08017","Cheyenne County","Colorado","3065","1,890","",""
"08019","Clear Creek County","Colorado","2516","9,031","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
"08021","Conejos County","Colorado","2588","8,277","",""
"08023","Costilla County","Colorado","2940","3,518","",""
"08025","Crowley County","Colorado","2813","5,322","",""
"08027","Custer County","Colorado","2881","4,285","",""
"08029","Delta County","Colorado","1420","30,483","",""
"08031","Denver, City and County of","Colorado","99","649,495","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
"08033","Dolores County","Colorado","3049","2,029","",""
"08035","Douglas County","Colorado","216","305,963","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
"08037","Eagle County","Colorado","948","52,460","Edwards, CO Micropolitan Statistical Area","Edwards-Glenwood Springs, CO Combined Statistical Area"
"08039","Elbert County","Colorado","1654","23,733","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
"08041","El Paso County","Colorado","97","655,044","Colorado Springs, CO Metropolitan Statistical Area",""
"08043","Fremont County","Colorado","1038","46,451","Cañon City, CO Micropolitan Statistical Area","Pueblo-Cañon City, CO Combined Statistical Area"
"08045","Garfield County","Colorado","890","57,302","Glenwood Springs, CO Micropolitan Statistical Area","Edwards-Glenwood Springs, CO Combined Statistical Area"
"08047","Gilpin County","Colorado","2795","5,601","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
"08049","Grand County","Colorado","2152","14,289","",""
"08051","Gunnison County","Colorado","2074","15,507","",""
"08053","Hinsdale County","Colorado","3117","813","",""
"08055","Huerfano County","Colorado","2719","6,519","",""
"08057","Jackson County","Colorado","3090","1,365","",""
"08059","Jefferson County","Colorado","116","551,798","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
"08061","Kiowa County","Colorado","3085","1,423","",""
"08063","Kit Carson County","Colorado","2597","8,037","",""
"08065","Lake County","Colorado","2649","7,306","",""
"08067","La Plata County","Colorado","937","53,284","Durango, CO Micropolitan Statistical Area",""
"08069","Larimer County","Colorado","209","315,988","Fort Collins, CO Metropolitan Statistical Area",""
"08071","Las Animas County","Colorado","2141","14,446","",""
"08073","Lincoln County","Colorado","2809","5,430","",""
"08075","Logan County","Colorado","1711","22,450","Sterling, CO Micropolitan Statistical Area",""
"08077","Mesa County","Colorado","432","147,554","Grand Junction, CO Metropolitan Statistical Area",""
"08079","Mineral County","Colorado","3126","721","",""
"08081","Moffat County","Colorado","2232","13,103","Craig, CO Micropolitan Statistical Area","Steamboat Springs-Craig, CO Combined Statistical Area"
"08083","Montezuma County","Colorado","1578","25,642","",""
"08085","Montrose County","Colorado","1160","40,713","Montrose, CO Micropolitan Statistical Area",""
"08087","Morgan County","Colorado","1475","28,404","Fort Morgan, CO Micropolitan Statistical Area",""
"08089","Otero County","Colorado","1887","18,703","",""
"08091","Ouray County","Colorado","2864","4,557","",""
"08093","Park County","Colorado","2038","16,121","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","Denver-Aurora, CO Combined Statistical Area"
"08095","Phillips County","Colorado","2876","4,356","",""
"08097","Pitkin County","Colorado","1959","17,379","Glenwood Springs, CO Micropolitan Statistical Area","Edwards-Glenwood Springs, CO Combined Statistical Area"
"08099","Prowers County","Colorado","2284","12,291","",""
"08101","Pueblo County","Colorado","391","161,451","Pueblo, CO Metropolitan Statistical Area","Pueblo-Cañon City, CO Combined Statistical Area"
"08103","Rio Blanco County","Colorado","2698","6,807","",""
"08105","Rio Grande County","Colorado","2310","11,803","",""
"08107","Routt County","Colorado","1663","23,513","Steamboat Springs, CO Micropolitan Statistical Area","Steamboat Springs-Craig, CO Combined Statistical Area"
"08109","Saguache County","Colorado","2744","6,208","",""
"08111","San Juan County","Colorado","3130","692","",""
"08113","San Miguel County","Colorado","2626","7,678","",""
"08115","Sedgwick County","Colorado","3019","2,360","",""
"08117","Summit County","Colorado","1464","28,649","Breckenridge, CO Micropolitan Statistical Area",""
"08119","Teller County","Colorado","1675","23,275","Colorado Springs, CO Metropolitan Statistical Area",""
"08121","Washington County","Colorado","2851","4,803","",""
