"INCITS","County or equivalent","State or district","Pop Rank","2013 Pop","Core Based Statistical Area","Combined Statistical Area"
"32031","Washoe County","Nevada","160","433,731","Reno, NV Metropolitan Statistical Area","Reno-Carson City-Fernley, NV Combined Statistical Area"
"32033","White Pine County","Nevada","2434","10,057","",""
"32510","Carson City, Consolidated Municipality of","Nevada","922","54,080","Carson City, NV Metropolitan Statistical Area","Reno-Carson City-Fernley, NV Combined Statistical Area"
"33001","Belknap County","New Hampshire","863","60,179","Laconia, NH Micropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
"33003","Carroll County","New Hampshire","1020","47,499","",""
"33005","Cheshire County","New Hampshire","717","76,610","Keene, NH Micropolitan Statistical Area",""
"33007","Coos County","New Hampshire","1390","31,997","Berlin, NH-VT Micropolitan Statistical Area",""
"33009","Grafton County","New Hampshire","641","89,629","Claremont-Lebanon, NH-VT Micropolitan Statistical Area",""
"33011","Hillsborough County","New Hampshire","169","403,985","Manchester-Nashua, NH Metropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
"33013","Merrimack County","New Hampshire","437","146,849","Concord, NH Micropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
"33015","Rockingham County","New Hampshire","222","299,134","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
"33017","Strafford County","New Hampshire","496","124,593","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
"33019","Sullivan County","New Hampshire","1112","42,984","Claremont-Lebanon, NH-VT Micropolitan Statistical Area",""
"34001","Atlantic County","New Jersey","242","275,862","Atlantic City-Hammonton, NJ Metropolitan Statistical Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
"34003","Bergen County","New Jersey","55","925,328","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"34005","Burlington County","New Jersey","149","450,838","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
"34007","Camden County","New Jersey","127","512,854","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
"34009","Cape May County","New Jersey","607","95,897","Ocean City, NJ Metropolitan Statistical Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
"34011","Cumberland County","New Jersey","401","157,332","Vineland-Bridgeton, NJ Metropolitan Statistical Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
